Block Type;96well;;;;;;;;;;;;;;;;;;;;;;;;
Chemistry;SYBR_GREEN;;;;;;;;;;;;;;;;;;;;;;;;
Experiment File Name;C:\Users\Seiichi Sato\Desktop\SCI members\Clement\HeLa_siRNAP8-P6_stimulation-3pRNA.eds;;;;;;;;;;;;;;;;;;;;;;;;
Experiment Run End Time;2025-07-22 15:51:13 PM EDT;;;;;;;;;;;;;;;;;;;;;;;;
Instrument Type;steponeplus;;;;;;;;;;;;;;;;;;;;;;;;
Passive Reference;ROX;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Well;Sample Name;Target Name;Task;Reporter;Quencher;RQ;RQ Min;RQ Max;Cт;Cт Mean;Cт SD;ΔCт;ΔCт Mean;ΔCт SE;HK Control ΔCт Mean;HK Control ΔCт SE;ΔΔCт;Automatic Ct Threshold;Ct Threshold;Automatic Baseline;Baseline Start;Baseline End;Efficiency;Comments;HIGHSD
E7;Control;PARP8;UNKNOWN;SYBR;None;1;0,582304000854492;1,71731615066528;27,2460632324219;28,0552139282227;0,734394609928131;;9,79033088684082;0,363745033740997;;;0;VRAI;1,71552373721073;VRAI;3;19;1;;Y
E8;Control;PARP8;UNKNOWN;SYBR;None;1;0,582304000854492;1,71731615066528;27,4361095428467;28,0552139282227;0,734394609928131;;9,79033088684082;0,363745033740997;;;0;VRAI;1,71552373721073;VRAI;3;19;1;;Y
E9;siPARP6.1;PARP8;UNKNOWN;SYBR;None;1,08985090255737;0,442162960767746;2,68628311157227;26,3605270385742;26,9502716064453;0,590086698532104;;9,66620063781738;0,531886994838715;;;-0,124130725860596;VRAI;1,71552373721073;VRAI;3;18;1;;Y
E10;siPARP6.1;PARP8;UNKNOWN;SYBR;None;1,08985090255737;0,442162960767746;2,68628311157227;26,5372486114502;26,9502716064453;0,590086698532104;;9,66620063781738;0,531886994838715;;;-0,124130725860596;VRAI;1,71552373721073;VRAI;3;18;1;;Y
E11;siPARP6.1;PARP8;UNKNOWN;SYBR;None;1,08985090255737;0,442162960767746;2,68628311157227;27,3433704376221;26,9502716064453;0,590086698532104;;9,66620063781738;0,531886994838715;;;-0,124130725860596;VRAI;1,71552373721073;VRAI;3;19;1;;Y
E12;siPARP6.1;PARP8;UNKNOWN;SYBR;None;1,08985090255737;0,442162960767746;2,68628311157227;27,5599384307861;26,9502716064453;0,590086698532104;;9,66620063781738;0,531886994838715;;;-0,124130725860596;VRAI;1,71552373721073;VRAI;3;19;1;;Y
1,00 F;siPARP6.2;PARP8;UNKNOWN;SYBR;None;1,28316426277161;0,930026590824127;1,77039098739624;27,2296756744385;26,5522594451904;0,227927133440971;;9,43062496185303;0,189774736762047;;;-0,359705924987793;VRAI;1,71552373721073;VRAI;3;19;1;;N
2,00 F;siPARP6.2;PARP8;UNKNOWN;SYBR;None;1,28316426277161;0,930026590824127;1,77039098739624;26,9731315612793;26,5522594451904;0,227927133440971;;9,43062496185303;0,189774736762047;;;-0,359705924987793;VRAI;1,71552373721073;VRAI;3;18;1;;N
3,00 F;siPARP6.2;PARP8;UNKNOWN;SYBR;None;1,28316426277161;0,930026590824127;1,77039098739624;26,9334377288818;26,5522594451904;0,227927133440971;;9,43062496185303;0,189774736762047;;;-0,359705924987793;VRAI;1,71552373721073;VRAI;3;18;1;;N
4,00 F;siPARP6.2;PARP8;UNKNOWN;SYBR;None;1,28316426277161;0,930026590824127;1,77039098739624;26,5727909088135;26,5522594451904;0,227927133440971;;9,43062496185303;0,189774736762047;;;-0,359705924987793;VRAI;1,71552373721073;VRAI;3;18;1;;N
5,00 F;siPARP8.1;PARP8;UNKNOWN;SYBR;None;0,412564218044281;0,238042622804642;0,715036749839783;28,8116989135742;28,3242893218994;0,460809797048569;;11,0676403045654;0,324244916439056;;;1,27730941772461;VRAI;1,71552373721073;VRAI;3;21;1;;N
6,00 F;siPARP8.1;PARP8;UNKNOWN;SYBR;None;0,412564218044281;0,238042622804642;0,715036749839783;28,6238975524902;28,3242893218994;0,460809797048569;;11,0676403045654;0,324244916439056;;;1,27730941772461;VRAI;1,71552373721073;VRAI;3;21;1;;N
7,00 F;siPARP8.1;PARP8;UNKNOWN;SYBR;None;0,412564218044281;0,238042622804642;0,715036749839783;27,929407119751;28,3242893218994;0,460809797048569;;11,0676403045654;0,324244916439056;;;1,27730941772461;VRAI;1,71552373721073;VRAI;3;20;1;;N
8,00 F;siPARP8.1;PARP8;UNKNOWN;SYBR;None;0,412564218044281;0,238042622804642;0,715036749839783;27,9321517944336;28,3242893218994;0,460809797048569;;11,0676403045654;0,324244916439056;;;1,27730941772461;VRAI;1,71552373721073;VRAI;3;20;1;;N
