Block Type;96well;;;;;;;;;;;;;;;;;;;;;;;;
Chemistry;SYBR_GREEN;;;;;;;;;;;;;;;;;;;;;;;;
Experiment File Name;C:\Users\Seiichi Sato\Desktop\SCI members\Clement\Overexpression_HeLa2_cGAS-RIGI.eds;;;;;;;;;;;;;;;;;;;;;;;;
Experiment Run End Time;2025-08-05 16:34:46 PM EDT;;;;;;;;;;;;;;;;;;;;;;;;
Instrument Type;steponeplus;;;;;;;;;;;;;;;;;;;;;;;;
Passive Reference;ROX;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Well;Sample Name;Target Name;Task;Reporter;Quencher;RQ;RQ Min;RQ Max;Cт;Cт Mean;Cт SD;ΔCт;ΔCт Mean;ΔCт SE;HK Control ΔCт Mean;HK Control ΔCт SE;ΔΔCт;Automatic Ct Threshold;Ct Threshold;Automatic Baseline;Baseline Start;Baseline End;Efficiency;Comments;HIGHSD
E11;cGAS 8.1;PARP8;UNKNOWN;SYBR;None;0,220971539616585;0,196288079023361;0,248758971691132;27,1805305480957;27,1033535003662;0,0850610211491585;;12,3465986251831;0,0615492165088654;;;2,178067445755;VRAI;1,42972319897483;VRAI;3;19;1;;N
E12;cGAS 8.1;PARP8;UNKNOWN;SYBR;None;0,220971539616585;0,196288079023361;0,248758971691132;27,0121517181396;27,1033535003662;0,0850610211491585;;12,3465986251831;0,0615492165088654;;;2,178067445755;VRAI;1,42972319897483;VRAI;3;19;1;;N
1,00 F;cGAS 8.2;PARP8;UNKNOWN;SYBR;None;0,195997789502144;0,148528650403023;0,258637845516205;25,9318504333496;25,7768115997314;0,235152751207352;;12,5196218490601;0,144103720784187;;;2,35109066963196;VRAI;1,42972319897483;VRAI;3;18;1;;N
2,00 F;cGAS 8.2;PARP8;UNKNOWN;SYBR;None;0,195997789502144;0,148528650403023;0,258637845516205;25,8923454284668;25,7768115997314;0,235152751207352;;12,5196218490601;0,144103720784187;;;2,35109066963196;VRAI;1,42972319897483;VRAI;3;18;1;;N
3,00 F;cGAS 8.2;PARP8;UNKNOWN;SYBR;None;0,195997789502144;0,148528650403023;0,258637845516205;25,5062408447266;25,7768115997314;0,235152751207352;;12,5196218490601;0,144103720784187;;;2,35109066963196;VRAI;1,42972319897483;VRAI;3;18;1;;N
G1;Negative Control;RIG1;UNKNOWN;SYBR;None;1;0,532747447490692;1,87706208229065;28,8618316650391;28,6813945770264;0,167828008532524;;12,3002910614014;0,327208489179611;;;0;VRAI;1,69233344686883;VRAI;3;21;1;;N
G2;Negative Control;RIG1;UNKNOWN;SYBR;None;1;0,532747447490692;1,87706208229065;28,5299549102783;28,6813945770264;0,167828008532524;;12,3002910614014;0,327208489179611;;;0;VRAI;1,69233344686883;VRAI;3;20;1;;N
G3;Negative Control;RIG1;UNKNOWN;SYBR;None;1;0,532747447490692;1,87706208229065;28,6523952484131;28,6813945770264;0,167828008532524;;12,3002910614014;0,327208489179611;;;0;VRAI;1,69233344686883;VRAI;3;21;1;;N
G10;RIG1 Control;RIG1;UNKNOWN;SYBR;None;11,7182531356812;8,66215229034424;15,852578163147;23,1634616851807;23,1312198638916;0,0481872335076332;;8,74960517883301;0,157020941376686;;;-3,55068564414978;VRAI;1,69233344686883;VRAI;3;15;1;;N
G11;RIG1 Control;RIG1;UNKNOWN;SYBR;None;11,7182531356812;8,66215229034424;15,852578163147;23,0758266448975;23,1312198638916;0,0481872335076332;;8,74960517883301;0,157020941376686;;;-3,55068564414978;VRAI;1,69233344686883;VRAI;3;15;1;;N
G12;RIG1 Control;RIG1;UNKNOWN;SYBR;None;11,7182531356812;8,66215229034424;15,852578163147;23,1543731689453;23,1312198638916;0,0481872335076332;;8,74960517883301;0,157020941376686;;;-3,55068564414978;VRAI;1,69233344686883;VRAI;3;15;1;;N
H1;RIG1 8.1;RIG1;UNKNOWN;SYBR;None;3,82612204551697;3,29334831237793;4,44508409500122;24,3805923461914;24,2413005828857;0,12063767015934;;10,364408493042;0,0779153928160667;;;-1,93588292598724;VRAI;1,69233344686883;VRAI;3;16;1;;N
H2;RIG1 8.1;RIG1;UNKNOWN;SYBR;None;3,82612204551697;3,29334831237793;4,44508409500122;24,1704139709473;24,2413005828857;0,12063767015934;;10,364408493042;0,0779153928160667;;;-1,93588292598724;VRAI;1,69233344686883;VRAI;3;16;1;;N
H3;RIG1 8.1;RIG1;UNKNOWN;SYBR;None;3,82612204551697;3,29334831237793;4,44508409500122;24,1728916168213;24,2413005828857;0,12063767015934;;10,364408493042;0,0779153928160667;;;-1,93588292598724;VRAI;1,69233344686883;VRAI;3;16;1;;N
H4;RIG1 8.2;RIG1;UNKNOWN;SYBR;None;7,49577713012695;6,257896900177;8,97852325439453;24,6310195922852;24,7303829193115;0,157893553376198;;9,39421272277832;0,0937890559434891;;;-2,90607810020447;VRAI;1,69233344686883;VRAI;3;16;1;;N
H5;RIG1 8.2;RIG1;UNKNOWN;SYBR;None;7,49577713012695;6,257896900177;8,97852325439453;24,912446975708;24,7303829193115;0,157893553376198;;9,39421272277832;0,0937890559434891;;;-2,90607810020447;VRAI;1,69233344686883;VRAI;3;17;1;;N
H6;RIG1 8.2;RIG1;UNKNOWN;SYBR;None;7,49577713012695;6,257896900177;8,97852325439453;24,6476764678955;24,7303829193115;0,157893553376198;;9,39421272277832;0,0937890559434891;;;-2,90607810020447;VRAI;1,69233344686883;VRAI;3;16;1;;N
A1;Negative Control;IFNB;UNKNOWN;SYBR;None;;;;34,5449867248535;35,3010215759277;0,701905071735382;;;;;;;VRAI;0,880505314967862;VRAI;3;27;1;79,7492065429688;
A2;Negative Control;IFNB;UNKNOWN;SYBR;None;;;;35,426097869873;35,3010215759277;0,701905071735382;;;;;;;VRAI;0,880505314967862;VRAI;3;29;1;79,7492065429688;
A3;Negative Control;IFNB;UNKNOWN;SYBR;None;;;;35,9319801330566;35,3010215759277;0,701905071735382;;;;;;;VRAI;0,880505314967862;VRAI;3;29;1;79,6008529663086;
A10;RIG1 Control;IFNB;UNKNOWN;SYBR;None;;;;33,0795288085938;32,5950469970703;0,529807090759277;;;;;;;VRAI;0,880505314967862;VRAI;3;26;1;79,3047332763672;
A11;RIG1 Control;IFNB;UNKNOWN;SYBR;None;;;;32,6763114929199;32,5950469970703;0,529807090759277;;;;;;;VRAI;0,880505314967862;VRAI;3;26;1;79,4555282592773;
A12;RIG1 Control;IFNB;UNKNOWN;SYBR;None;;;;32,0293045043945;32,5950469970703;0,529807090759277;;;;;;;VRAI;0,880505314967862;VRAI;3;25;1;79,3063735961914;
B1;RIG1 8.1;IFNB;UNKNOWN;SYBR;None;;;;34,6995391845703;34,0956993103027;0,90807443857193;;;;;;;VRAI;0,880505314967862;VRAI;3;28;1;79,4508666992188;
B2;RIG1 8.1;IFNB;UNKNOWN;SYBR;None;;;;33,0513954162598;34,0956993103027;0,90807443857193;;;;;;;VRAI;0,880505314967862;VRAI;3;26;1;79,3016967773438;
B3;RIG1 8.1;IFNB;UNKNOWN;SYBR;None;;;;34,5361595153809;34,0956993103027;0,90807443857193;;;;;;;VRAI;0,880505314967862;VRAI;3;28;1;79,6008529663086;
B4;RIG1 8.2;IFNB;UNKNOWN;SYBR;None;;;;33,9714698791504;34,1464538574219;0,55574369430542;;;;;;;VRAI;0,880505314967862;VRAI;3;27;1;79,6008529663086;
B5;RIG1 8.2;IFNB;UNKNOWN;SYBR;None;;;;34,7686309814453;34,1464538574219;0,55574369430542;;;;;;;VRAI;0,880505314967862;VRAI;3;28;1;79,6017150878906;
B6;RIG1 8.2;IFNB;UNKNOWN;SYBR;None;;;;33,6992645263672;34,1464538574219;0,55574369430542;;;;;;;VRAI;0,880505314967862;VRAI;3;27;1;79,4525451660156;
B7;cGAS Control;IFNB;UNKNOWN;SYBR;None;;;;33,772388458252;34,2178955078125;0,392364799976349;;;;;;;VRAI;0,880505314967862;VRAI;3;27;1;79,3066482543945;
B8;cGAS Control;IFNB;UNKNOWN;SYBR;None;;;;34,5120124816895;34,2178955078125;0,392364799976349;;;;;;;VRAI;0,880505314967862;VRAI;3;28;1;79,3066482543945;
B9;cGAS Control;IFNB;UNKNOWN;SYBR;None;;;;34,3692855834961;34,2178955078125;0,392364799976349;;;;;;;VRAI;0,880505314967862;VRAI;3;28;1;79,3047332763672;
B10;cGAS 8.1;IFNB;UNKNOWN;SYBR;None;;;;33,8082656860352;34,6000137329102;0,961111664772034;;;;;;;VRAI;0,880505314967862;VRAI;3;27;1;79,0063781738281;
B11;cGAS 8.1;IFNB;UNKNOWN;SYBR;None;;;;34,3223991394043;34,6000137329102;0,961111664772034;;;;;;;VRAI;0,880505314967862;VRAI;3;28;1;79,4555282592773;
B12;cGAS 8.1;IFNB;UNKNOWN;SYBR;None;;;;35,669376373291;34,6000137329102;0,961111664772034;;;;;;;VRAI;0,880505314967862;VRAI;3;29;1;79,4555282592773;
C1;cGAS 8.2;IFNB;UNKNOWN;SYBR;None;;;;33,1025886535645;33,2029876708984;0,301603734493256;;;;;;;VRAI;0,880505314967862;VRAI;3;26;1;79,6000366210938;
C2;cGAS 8.2;IFNB;UNKNOWN;SYBR;None;;;;33,5419845581055;33,2029876708984;0,301603734493256;;;;;;;VRAI;0,880505314967862;VRAI;3;26;1;79,6000366210938;
